Time,Temperature(F),Humidity(%),Dewpoint(F),HeatIndex(F)
2019/05/22 14:49,81.1,45,57.9,81.1
2019/05/22 14:54,81.3,45,58.1,81.3
2019/05/22 14:59,81.3,45,58.1,81.3
2019/05/22 15:04,81.3,45,58.1,81.3
2019/05/22 15:09,81.5,45,58.1,81.5
2019/05/22 15:14,81.5,45,58.1,81.5
2019/05/22 15:19,81.3,45,58.1,81.3
2019/05/22 15:24,81.5,45,58.1,81.5
2019/05/22 15:30,81.5,45,58.1,81.5
2019/05/22 15:35,81.5,45,58.1,81.5
2019/05/22 15:40,81.7,45,58.3,81.7
2019/05/22 15:45,81.9,45,58.5,81.9
2019/05/22 15:50,82.0,45,58.6,82.0
2019/05/22 15:57,82.2,45,58.8,82.2
2019/05/22 16:02,82.2,45,58.8,82.2
2019/05/22 16:07,82.4,44,58.3,82.2
2019/05/22 16:12,82.4,44,58.3,82.2
2019/05/22 16:18,82.4,45,59.0,82.4
2019/05/22 16:23,82.4,44,58.3,82.2
2019/05/22 16:28,82.4,45,59.0,82.4
2019/05/22 16:33,82.6,45,59.2,82.6
2019/05/22 16:38,82.6,45,59.2,82.6
2019/05/22 16:43,82.6,45,59.2,82.6
2019/05/22 16:48,82.8,46,59.9,82.9
2019/05/22 16:53,82.8,45,59.4,82.8
2019/05/22 16:58,82.8,45,59.4,82.8
2019/05/22 17:03,82.8,45,59.4,82.8
2019/05/22 17:08,82.8,46,59.9,82.9
2019/05/22 17:13,82.8,45,59.4,82.8
2019/05/22 17:19,82.8,46,59.9,82.9
2019/05/22 17:24,82.8,46,59.9,82.9
2019/05/22 17:29,82.8,46,59.9,82.9
2019/05/22 17:34,82.6,45,59.2,82.6
2019/05/22 17:39,82.6,46,59.7,82.8
2019/05/22 17:44,82.6,46,59.7,82.8
2019/05/22 17:49,82.6,46,59.7,82.8
2019/05/22 17:54,82.6,46,59.7,82.8
2019/05/22 17:59,82.8,46,59.9,82.9
2019/05/22 18:04,82.8,46,59.9,82.9
2019/05/22 18:09,82.8,46,59.9,82.9
2019/05/22 18:14,82.9,46,60.1,82.9
2019/05/22 18:20,82.9,47,60.6,83.1
2019/05/22 18:25,82.8,47,60.6,83.1
2019/05/22 18:30,82.8,47,60.6,83.1
2019/05/22 18:35,82.6,47,60.4,82.9
2019/05/22 18:40,82.4,47,60.3,82.6
2019/05/22 18:45,82.4,47,60.3,82.6
2019/05/22 18:50,82.2,47,60.1,82.4
2019/05/22 18:55,82.2,47,60.1,82.4
2019/05/22 19:00,82.2,47,60.1,82.4
2019/05/22 19:05,82.0,48,60.4,82.4
2019/05/22 19:10,81.9,47,59.7,82.2
2019/05/22 19:15,81.9,48,60.3,82.2
2019/05/22 19:21,81.7,48,60.1,82.0
2019/05/22 19:26,81.7,48,60.1,82.0
2019/05/22 19:31,81.7,48,60.1,82.0
2019/05/22 19:36,81.7,48,60.1,82.0
2019/05/22 19:41,81.5,48,59.9,81.9
2019/05/22 19:46,81.3,49,60.4,81.9
2019/05/22 19:51,81.3,49,60.4,81.9
2019/05/22 19:56,81.1,49,60.3,81.7
2019/05/22 20:01,80.8,49,59.9,81.3
2019/05/22 20:06,80.6,50,60.3,81.3
2019/05/22 20:11,80.6,50,60.3,81.3
2019/05/22 20:16,80.2,50,59.9,81.0
2019/05/22 20:22,80.2,50,59.9,81.0
2019/05/22 20:27,79.9,50,59.7,79.9
2019/05/22 20:32,79.7,50,59.5,79.7
2019/05/22 20:37,79.5,50,59.4,79.5
2019/05/22 20:42,79.3,51,59.7,79.3
2019/05/22 20:47,79.2,51,59.5,79.2
2019/05/22 20:52,79.0,51,59.4,79.0
2019/05/22 20:57,78.8,51,59.2,78.8
2019/05/22 21:02,78.6,52,59.5,78.6
2019/05/22 21:07,78.4,53,59.9,78.4
2019/05/22 21:12,78.3,53,59.7,78.3
2019/05/22 21:17,78.1,54,60.1,78.1
2019/05/22 21:23,77.9,54,59.9,77.9
2019/05/22 21:28,77.7,54,59.7,77.7
2019/05/22 21:33,77.5,55,60.1,77.5
2019/05/22 21:38,77.4,55,59.9,77.4
2019/05/22 21:43,77.2,55,59.9,77.2
2019/05/22 21:48,77.0,56,60.1,77.0
2019/05/22 21:53,76.8,56,60.1,76.8
2019/05/22 21:58,76.6,56,59.9,76.6
2019/05/22 22:03,76.5,57,60.1,76.5
2019/05/22 22:08,76.5,57,60.1,76.5
2019/05/22 22:13,76.3,57,59.9,76.3
2019/05/22 22:18,76.3,58,60.4,76.3
2019/05/22 22:24,76.1,58,60.3,76.1
2019/05/22 22:29,75.9,58,60.1,75.9
2019/05/22 22:34,75.7,59,60.4,75.7
2019/05/22 22:39,75.6,59,60.3,75.6
2019/05/22 22:44,75.6,59,60.3,75.6
2019/05/22 22:49,75.6,59,60.3,75.6
